name,score
GTA5,9.6
方舟：生存进化,9.1
绝地求生,8.1
堡垒之夜,8.9
正当防卫3,9.0
怪物猎人：世界,9.6
尼尔：机械纪元,8.5
刺客信条：起源,9.2
塞尔达荒野之息,9.8
火影：究极风暴4,9.0
龙珠超宇宙2,8.7
孤岛惊魂5,8.5
使命召唤14,7.6
看门狗2,8.5
真三国无双8,6.0
模拟人生4,8.8
漫威蜘蛛侠,9.2
战神4,9.7
巫师3,9.7
荒野大镖客：救赎2,9.6
饥荒,9.1
上古卷轴5,9.4
神秘海域4,9.3
古墓丽影：暗影,8.6
火影：究极风暴3,8.8
生存之旅2,9.3
极品飞车20,7.6
三国群英传7,9.5
孤岛惊魂：原始杀戮,8.5
底特律变人,9.4
PVZ：花园战争,8.9
星露谷物语,9.3
消逝的光芒,9.1
古墓丽影：崛起,9.1
战地1,9.2
森林,9.2
超级马里奥奥德赛,9.5
NBA2K18,7.8
古墓丽影9,9.3
虐杀原形,9.1
黑暗之魂3,9.4
龙珠：超宇宙,8.0
GTA4,8.9
生化危机7,8.0
人渣,8.8
狙击精英4,7.9
逆水寒,6.8
极限竞速地平线3,9.4
彩虹六号围攻,9.4
辐射4,9.0
我的世界,9.0
刺客信条：奥德赛,9.4
龙珠斗士Z,8.6
人类一败涂地,8.7
真三国无双5,9.1
虐杀原形2,8.6
和班尼特福迪一起攻克难关,6.1
巫师3年度版,9.8
最终幻想15,8.5
使命召唤15,7.8
魔兽争霸3,9.6
PVZ：花园战争2,9.0
地平线黎明时分,8.9
看门狗,8.6
泰坦陨落2,9.1
腐烂国度2,7.0
火影新忍出击,8.4
侏罗纪世界：进化,8.6
合金装备5幻痛,9.2
热血无赖,9.0
女神异闻录5,9.6
合金装备崛起：复仇,9.0
NBA2K17,8.0
战地模拟器,9.0
精灵宝可梦日月,9.0
逃生2,8.3
海贼无双3,8.5
孤岛惊魂3,9.1
不义联盟2,9.0
精灵宝可梦究极日月,9.0
丧尸围城4,7.2
黎明杀机,8.8
异度之刃2,9.5
仁王,8.5
NBA 2K19,7.9
刺客信条4：黑旗,8.9
恶灵附身2,8.4
真三国无双7,8.8
中土世界战争之影,8.7
神秘海域失落遗产,8.9
生化危机6,8.5
狙击精英3,8.6
河洛群侠传,7.3
骑马与砍杀：战团,9.4
极限竞速：地平线4,9.6
孤岛惊魂4,8.6
孤岛危机3,9.0
正当防卫2,8.4
文明6,9.1
命运2,8.2
这是我的战争,9.3
植物大战僵尸,9.1
飙酷车神2,7.7
猎天使魔女,8.4
美国末日,9.4
刺客信条,8.5
模拟人生3,9.0
极品飞车18：宿敌,8.3
旋转轮胎,8.9
神舞幻想,7.2
无双大蛇3,8.6
极品飞车17,8.8
欧洲卡车模拟2,9.0
逃脱者2,8.9
真三7：猛将传,8.7
武装突袭3,8.6
血源,9.6
火影忍者4博人之路,9.3
丧尸围城3,8.6
你好邻居,9.4
H1Z1,7.9
英雄联盟,6.2
Inside,9.5
喷射战士2,9.3
太吾绘卷,9.2
刀剑神域虚空幻界,8.9
杀手6,8.8
无人深空,8.1
神界原罪2,9.6
真三国无双6,8.0
守望先锋,8.5
模拟人生4生儿育女,9.4
火影忍者究极风暴世代,9.4
星之卡比：新星同盟,8.6
死亡细胞,9.0
全境封锁,8.4
DmC：鬼泣,8.7
鬼泣4：特别版,9.2
以撒的结合：重生,9.3
冰汽时代,9.1
刺客信条：枭雄,8.4
地狱之刃,7.5
刀剑神域：夺命凶弹,7.8
尘埃4,8.3
饥荒联机版,9.4
天命奇御,8.9
三国志11,9.6
茶杯头,8.8
失落城堡,8.5
60秒！,8.3
方舟公园,9.4
刺客信条：大革命,8.3
质量效应：仙女座,7.5
德军总部2新巨人,8.3
火影忍者风暴遗产,9.1
刺客信条2,9.5
模拟人生4：春夏秋冬,9.2
天国：拯救,8.8
假面骑士巅峰战士,9.0
羞辱2,8.7
缺氧,9.2
漫漫长夜,8.7
三国志13PK版,7.6
盗贼之海,7.2
极品飞车19,8.2
火影忍者究极风暴合集,9.1
刺客信条3,8.3
进击的巨人,8.2
波西亚时光,9.0
拳皇14,7.8
侠客风云传,9.3
杀手5：赦免,8.6
街头霸王5,8.4
泰拉瑞亚,9.5
行尸走肉：第三季,7.9
星球大战前线2,6.9
生化危机4,9.1
GTAVC,9.1
海贼王燃烧热血,8.4
无主之地2,9.3
生存之旅,9.0
白色情人节校园迷宫,9.2
荣耀战魂,8.1
掠食,8.2
实况足球2018,8.1
生化奇兵：无限,9.6
杀戮尖塔,9.5
仙剑奇侠传3,9.4
宝可梦探险寻宝,8.7
深海迷航,9.1
方舟方块世界,9.3
传送门骑士,8.5
双点医院,8.8
勇者斗恶龙11,8.9
鬼泣4,9.1
吸血鬼,7.6
神奇蜘蛛侠2,8.7
CSGO,9.2
逃出生天,9.2
饥荒海难,9.5
上古卷轴5重制版,9.6
死或生5,8.5
白色情人节,9.2
黑暗之魂：重制版,9.4
GTA：自由城故事,9.0
八方旅人,7.9
合金装备：幸存,6.1
蝙蝠侠：阿甘骑士,9.2
极限竞速7,8.8
Fate/EXTELLA,7.7
史诗战争模拟器,8.9
FIFA18,8.7
火影：究极风暴-革命,8.3
无限法则,7.2
仙剑奇侠传4,9.5
金庸群侠传5,7.8
孤岛危机,9.1
魔兽世界,9.5
未转变者,9.2
孢子,8.8
极品飞车14,8.0
十三号星期五,7.8
NBA 2K14,8.8
武侠V,7.6
战神3,9.1
空洞骑士,9.4
GTA：罪恶都市传奇,9.0
辐射避难所,8.5
恶灵附身,9.2
消逝的光芒信徒,9.3
黑暗之魂,9.3
恐惧狼群,9.2
中国式家长,7.8
口袋妖怪X/Y,9.3
信长之野望大志,6.8
行尸走肉,9.1
神奇蜘蛛侠,8.0
三国志13,7.6
奥日与黑暗森林,9.6
如龙0,9.4
NBA 2K16,8.4
刺客信条：兄弟会,9.2
怪物猎人XX,9.4
伊苏8,9.4
实况足球2017,7.5
铁拳7,8.5
暗黑破坏神2,9.4
废品机械师,8.9
战锤全面战争2,8.9
ICEY,8.7
奇异人生,9.5
以撒的结合：胎衣,9.3
星际争霸2,9.3
我的世界故事模式2,9.4
毁灭战士4,9.1
乐高世界,8.4
GTA4：自由城故事,9.1
流放之路,8.8
进击的巨人2,8.3
疯狂的麦克斯,7.6
木筏生存,8.9
方舟适者生存,9.3
Dota2,9.3
流放者柯南,7.3
荒野大镖客：救赎,9.6
羞辱,9.2
战地：叛逆连队2,8.5
死或生：沙滩排球3,8.1
我的世界故事模式,8.5
帝国时代终极版,8.2
侠客风云传前传,8.8
生化危机5,8.5
异形大战铁血战士,8.4
罗马2：全面战争,9.2
全面吃鸡模拟器,8.6
猎人野性的呼唤,8.0
三国志12,7.0
城市：天际线,9.3
VR女友,8.0
灵魂筹码,8.1
战神3重制版,9.2
极速骑行2,9.4
星际战甲,9.1
光环5：守护者,9.1
奇异人生：暴风前夕,9.0
海贼王：无尽世界R,6.9
FIFA 19,8.8
模拟城市5,8.4
不是GTA5,8.8
传说之下,9.4
巧克力与香子兰3,9.0
四海兄弟3,6.9
骑马与砍杀：火与剑,9.1
真三国无双4,8.9
泰坦陨落,8.5
救赎之路,5.9
刺客信条：叛变,8.7
战锤末世鼠疫2,8.4
火炬之光2,8.8
逃离塔科夫,9.2
WWE2K18,8.6
煮糊了,8.9
拳皇13,8.7
模拟人生4城市生活,9.3
无双大蛇2,8.4
突袭4,7.8
生化危机：启示录2,8.7
二之国2,8.5
SOS终极对决,9.0
幻想三国志5,5.7
荒岛求生,8.5
NBA 2K15,8.4
钢铁雄心4,9.5
黑道圣徒3,8.8
传送门2,9.5
极限巅峰,8.6
最终幻想14,9.5
暗黑血统2,8.4
中土世界：暗影魔多,8.6
狙击精英V2,8.4
WILL美好世界,8.6
七日杀,9.0
逃生,9.1
模拟挖掘机,7.8
极品飞车9,9.4
龙腾世纪：审判,8.3
血源老猎人,9.5
黑道圣徒4,8.0
永恒之柱2,8.8
模拟农场17,8.3
丧尸围城2,8.5
反恐精英,9.4
勇敢的心：世界大战,9.5
亿万僵尸,8.7
战锤：全面战争,8.4
战争机器4,8.4
巧克力与香子兰,9.3
量子破碎,8.2
使命召唤OL,7.3
胡闹厨房2,8.9
南方公园：完整破碎,8.0
刺客信条：启示录,9.2
模拟人生4猫与狗,9.4
实况足球2019,8.6
全面战争：幕府将军2,9.0
荒野行动,6.7
火影忍者疾风传究极忍者风暴,8.7
异星探险家,8.6
鬼泣HD合集,8.5
行尸走肉：最终季,9.4
死亡岛,7.6
乐高漫威超级英雄2,9.2
无双大蛇,8.6
乐高侏罗纪世界,8.5
暗黑血统：战神之怒,8.0
战场女武神4,9.0
大神绝景版,9.1
穿越火线,3.8
猎天使魔女2,8.9
英雄连2,8.7
FIFA17,8.5
克苏鲁的呼唤,7.7
英雄传说：闪之轨迹,8.6
加速世界VS刀剑神域,8.0
乞丐模拟器,9.2
我的英雄学院,8.2
羞辱界外魔之死,8.5
极限竞速：地平线2,8.0
植物大战僵尸2,6.8
画中世界,9.4
极品飞车OL,3.5
战意,5.1
星际争霸重制版,9.0
收获日2,8.2
黑魂2：原罪学者,9.3
全面战争模拟器,9.5
小梦魇,9.1
崩溃大陆,9.2
死或生5：最后一战,8.8
荣誉勋章,8.1
刀剑神域虚空断章,8.2
巫师之昆特牌,9.0
火柴人战斗,9.2
无限试驾2,8.2
WWE 2K17,8.6
重装机兵XENO,7.4
狂战传说,8.0
迸发,7.3
侠盗猎车手3,9.1
乐高复仇者联盟,9.1
奇异人生2,8.8
旺达与巨像,8.7
生化危机：保护伞小队,5.0
Cuisine Royale,9.4
极品飞车16,8.2
高考恋爱100天,9.1
声名狼藉：私生子,7.7
巫师2：刺客之王,9.1
GTAOL,9.2
英雄连：勇气传说,9.0
仙剑奇侠传6,5.2
死亡空间3,8.7
幽浮2,9.2
盐和避难所,9.2
直到黎明,7.9
星界边境,9.2
模拟人生4：快乐洗衣日,9.3
艾迪芬奇的记忆,9.2
隐龙传影踪,6.7
细胞分裂6,9.1
坎巴拉太空计划,9.0
辐射3,9.2
飙酷车神,7.8
古墓丽影8,8.2
使命召唤2,9.2
死亡独轮车3D,7.8
仙剑奇侠传,9.2
刀剑神域：失落之歌,8.3
围攻,9.1
漫威VS卡普空无限,7.5
地铁：最后的曙光,8.7
超级机器人大战X,9.1
ABZU,8.8
讨鬼传2,8.2
王国新大陆,8.8
史莱姆牧场,9.3
层层恐惧,8.9
守墓人,8.7
人中北斗,7.6
孤岛危机2,8.8
孤岛惊魂2,7.8
流星蝴蝶剑,9.3
腐烂国度,8.8
忍者龙剑传2,9.6
影子战术将军之刃,8.8
恐怖黎明,9.3
混乱特工,7.9
暗黑地牢,9.3
空之轨迹FC,9.6
假面骑士斗骑大战创生,9.2
魔法门之英雄无敌3,9.1
红色警戒,9.4
质量效应3,9.2
帝国时代3,8.7
南方公园：真理之杖,9.4
王者荣耀主机版,8.0
极限竞速6,8.5
旋转轮胎泥泞奔驰,9.1
银魂乱舞,7.0
装机模拟器,8.4
半条命2,9.3
最终幻想13,8.0
德军总部：新秩序,8.6
辐射：新维加斯,9.3
死亡空间2,9.4
风之旅人,9.4
超凡双生,8.2
暴雨,8.8
X战警前传：金刚狼,8.4
绝对征服,8.0
拳皇97,9.2
全战不列颠,7.4
去月球,9.5
旅途,9.4
地狱边境,9.1
疯狂办公室,9.3
暗黑2毁灭之王,9.6
镜之边缘：催化剂,7.6
帝国：全面战争,9.0
马里奥赛车8豪华版,9.2
死神来了,8.4
无双全明星,7.4
剑网3重制版,6.3
古剑奇谭OL,7.6
帝国时代2,9.0
最后的守护者,7.7
石油骚动,8.8
毛线小精灵,9.0
龙珠Z：电光火石3,9.4
灵魂能力6,9.0
幻,2.4
最终幻想12：黄道年代,8.4
马里奥疯狂兔子,8.8
火箭联盟,8.2
CLANNAD,9.5
战争雷霆,9.2
火焰纹章无双,7.9
痛苦地狱,8.0
汉匈决战,5.2
战争黎明3,8.1
放逐之城,9.1
实况足球2016,8.1
仙剑奇侠传2,7.9
鬼泣3,9.5
这是我的战争：孩子们,9.2
怪物猎人物语,9.4
监狱建筑师,8.8
无双大蛇Z,8.9
火影：究极风暴2,9.0
枪火游侠,3.8
真三国无双英杰传,7.5
油管主播的生活,8.6
暗黑血统2：终极版,8.6
暗黑破坏神3,8.3
辐射4年度版,9.4
GTS,8.0
战国无双4-2,7.9
黑暗之魂2,9.0
暗黑3：夺魂之镰,8.5
丧尸围城,7.5
DayZ,8.2
刺客信条,9.2
行尸走肉：第二季,9.2
高达VS,5.1
虎豹骑,6.9
黑色沙漠,7.7
看火人,8.1
环世界,9.2
圣斗士斗士之魂,8.6
蜘蛛侠：英雄归来,8.8
地铁2033,9.0
群星,9.4
地球灭亡前60秒！,9.2
生化危机2,9.5
传说法师,8.6
生化危机,8.9
生化危机：启示录,8.4
Rust,9.0
秋叶原之旅2,7.8
强军,4.8
尘埃3,8.2
秋之回忆8,9.4
变形金刚：塞伯坦的陨落,8.6
真三7帝国,7.7
心灵杀手,9.0
王国,8.8
新高达破坏者,3.3
赛车计划2,8.8
刺客信条：编年史,8.1
炉石传说：魔兽英雄传,8.5
古剑奇谭,8.9
僵尸部队三部曲,7.3
最后一站,8.9
房产达人,8.3
FIFA Online3,8.5
神秘海域3,9.0
夏日课堂,8.3
WWE2K15,8.5
正当防卫,8.0
寂静岭2,9.5
仙剑奇侠传5,6.0
蝙蝠侠：阿甘之城,9.0
信长之野望14：创造,8.3
信长之野望14：创造,8.3
马克思佩恩3,8.3
德军总部：旧血脉,8.1
马里奥网球Aces,8.6
恶魔城：暗影之王2,8.0
使命召唤3,8.7
进化,7.8
毛线小精灵2,9.3
幼儿园,8.2
H1Z1杀戮之王,8.2
星际争霸,9.2
洛克人11,8.3
归家异途,8.2
老鼠模拟器,8.5
巨影都市,8.7
新弹丸论破V3,8.6
小镇惊魂,8.8
假面骑士穿越战争2,9.3
零：濡鸦之巫女,9.4
三国群英传5,9.0
NBA 2K13,8.9
最终幻想10HD,8.8
超能队长,8.5
请出示文件,8.3
弹丸论破,9.4
子弹风暴,8.5
生化危机：浣熊市行动,6.2
皇牌空战突击地平线,8.1
变形金刚塞伯坦之战,8.3
过山车之星,9.0
恶果之地,7.9
黑色洛城,9.3
蝙蝠侠内敌,7.8
镜之边缘,8.3
神偷4,8.3
绿色地狱,8.6
晶体管,9.1
猎杀对决,8.2
噬神者2：狂怒解放,8.6
战地：硬仗,7.6
生化危机0HD,9.1
无主之地,8.6
三国志10,9.3
杀出重围：人类分裂,8.4
口袋妖怪绿铀,9.1
冒险岛2,4.0
三国志9,9.2
口袋妖怪欧米伽红宝石阿尔法蓝宝石,9.1
蝙蝠侠：阿甘疯人院,8.9
超级机器人大战V,9.0
最终幻想世界,8.7
星球大战：前线,7.3
重力眩晕2,8.8
合金装备5：原爆点,8.8
闪之轨迹4,8.8
模拟农场18,8.9
光之子,8.8
蝙蝠侠：阿甘起源,8.5
蔚蓝,8.8
在远方追云者编年史,7.2
昆特牌王权的陨落,9.3
命运石之门,9.6
神海德雷克合集,9.2
死亡空间,9.0
闪乱神乐少女们的选择,8.6
风暴英雄,8.2
美国卡车模拟,8.8
桥梁建筑师传送门,8.0
NBA Live 18,8.3
古剑奇谭2,8.4
绝地求生刺激战场,9.2
闪之轨迹3,9.3
机械迷城,9.2
WWE2K16,7.8
神界3：原罪,9.4
幻舞的少女之剑,8.4
鹰击长空2,9.0
模拟山羊,8.4
超级鸡马,9.4
真三国无双3,7.6
光环战争2,8.6
我还活着,7.1
三国群英传2,9.1
超级玛丽,9.3
堕落之王,6.8
太阁立志传5,9.6
寂静岭5：归乡,8.5
游戏王决斗者遗产,9.0
奇异小队,7.0
吃鸡模拟器,5.5
雷曼：传奇,9.4
灵山奇缘,2.6
天涯明月刀,6.8
钢铁之师诺曼底44,9.0
火炬之光,8.4
挺进地牢,9.1
质量效应2,9.5
旁观者,8.7
讨鬼传：极,8.6
三国群英传6,8.8
蜘蛛侠：破碎维度,9.0
仙剑奇侠传5前传,8.6
原谅帽大作战,8.4
蜡烛人,8.6
宝藏世界,8.7
重装机兵,9.6
模拟人生3：大学生活,8.4
EVE Online,9.1
蝙蝠侠,7.9
最终幻想14：重生之境,9.5
教团：1886,7.4
阿拉亚,8.7
不义联盟,8.3
篱笆庄秘闻,7.9
驾驶俱乐部,7.6
兽人必须死2,8.4
瑞奇与叮当,9.2
御侠客,3.5
坦克世界,9.0
说谎公主与盲眼王子,8.6
汽车修理工模拟2018,8.5
口袋铁拳锦标赛DX,9.0
地下城与勇士,7.0
生化危机3,9.4
战争之人突击小队2,9.5
战术小队,9.1
海岛大亨5,8.4
仙剑3外传问情篇,8.0
尘埃拉力赛,8.2
英雄无敌7,8.3
星际2：虚空之遗,9.5
爱丽丝：疯狂回归,8.8
地铁：归来,9.3
尼内岛大逃杀,9.4
建筑模拟2015,9.5
质量效应,8.7
KOF2002UM,9.0
使命召唤,8.4
泰坦之旅：不朽王座,8.7
极限竞速5,8.2
进化之地2,8.5
消逝的光芒：邪恶之血,7.7
细胞分裂5：断罪,9.0
神秘海域2,9.5
维京人人中之狼,7.1
星球基地,8.8
火焰纹章if,8.6
