name,type,producers,expect,played,tags
GTA5,动作游戏,Rockstar Games,29634,11639, 沙盒 第三人称视角 射击 多人 角色扮演 冒险 竞速
方舟：生存进化,动作角色扮演,Wildcard/Wildcard、蜗牛游戏,31573,6366, 生存 沙盒 恐龙 龙 冒险 多人 建筑
绝地求生,第一人称射击,PUBG Corporation,27655,6348, 大逃杀 生存 电子竞技 沙盒 第三人称视角 玩家对战 多人
堡垒之夜,第三人称射击,Epic Games,25994,3626, 生存 大逃杀 沙盒 多人
正当防卫3,第三人称射击,Avalanche Studios/Square Enix,13696,2510, 射击 沙盒 冒险 探索 合作 欢乐 跑酷
怪物猎人：世界,动作游戏,"CAPCOM Co., Ltd.",7622,6113, 奇幻 狩猎 冒险 沙盒 角色扮演 探索 合作
尼尔：机械纪元,动作角色扮演,白金工作室/Square Enix,7459,3969, 科幻 美少女 角色扮演 角色动作 好评原声音乐 剧情丰富 氛围
刺客信条：起源,动作游戏,Ubisoft Montreal/Ubisoft,8098,3297, 开放世界 动作 角色扮演 剧情丰富 历史题材 潜入 跑酷
塞尔达传说：荒野之息,动作游戏,任天堂,5000,5825, 沙盒 奇幻 3D
火影忍者疾风传：究极忍者风暴4,格斗游戏,Cyber Connect2/Namco Bandai,9244,1475, 忍者 动作 日本动画 冒险 在线合作 开放世界 带状卷轴动作
龙珠：超宇宙2,格斗游戏,NBGI/BANDAI NAMCO Entertainment,8820,1570, 局域网联机 改编 单人 格斗 自创角色 第三人称视角 多人
孤岛惊魂5,第一人称射击,Ubisoft,5819,3216, 沙盒 合作 多人 自创角色 冒险 美国 单人
使命召唤14：二战,第一人称射击,Sledgehammer Games/Activision,5180,3002, 二战 单人战役 历史题材 高画质 多人联机 动作 互动电影
看门狗2,动作游戏,Ubisoft,5743,2339, 射击 冒险 第三人称视角 动作 开放世界 单人 跑酷
真三国无双8,动作游戏,ω-Force/KOEI,6223,1455, 三国 沙盒 动作 砍杀 历史 开放世界 多人
模拟人生4,模拟游戏,The Sim Studio/EA,6670,948, 3D
漫威蜘蛛侠,动作游戏,Insomniac Game/索尼,6197,1399, 漫画英雄 3D 改编 沙盒
战神4,动作游戏,索尼圣莫妮卡/索尼,4837,2617, 奇幻 北欧神话
荒野大镖客：救赎2,第三人称射击,Rockstar,4280,2239, 西部风格 沙盒 3D
巫师3：狂猎,动作角色扮演,CD Projekt RED/CD Projekt,2426,3960, 奇幻 沙盒 中世纪 开放世界 剧情丰富 单人 冒险
饥荒,冒险游戏,Klei Entertainment,4597,1609, 沙盒 生存 冒险 单人 多人 开放世界 可模组化
上古卷轴5：天际,角色扮演,Bethesda,3194,2610, 奇幻 沙盒 角色扮演 冒险 龙 开放世界 自创角色
神秘海域4：盗贼末路,动作游戏,Naughty Dog/SCE,4141,1219, 3D
古墓丽影：暗影,动作游戏,Eidos Montreal/Square Enix,3849,1175, 潜入暗杀 生存 3D
火影忍者疾风传：究极忍者风暴3,格斗游戏,Cyber Connect2/Namco Bandai,4441,480, 忍者 动作 单人 开放世界 日本动画 合作 带状卷轴动作
生存之旅2,第一人称射击,Valve,4205,638, 生存 丧尸 局域网联机 低配置 第一人称射击 生存恐怖 射击
极品飞车20：复仇,竞速游戏,Ghost Games/EA,4042,647, 赛车 竞技 互动电影 女主人公
三国群英传7,策略游戏,宇峻奥汀/游戏天堂,4264,416, 三国
孤岛惊魂：原始杀戮,第一人称射击,Ubisoft,3806,794, 沙盒 单人 狩猎 冒险 射击 动作 开放世界
底特律：变人,冒险游戏,Quantic Dream/索尼,3749,825, 科幻
植物大战僵尸：花园战争,第三人称射击,Popcap Games/Electronic Arts,3842,575, Q版 丧尸
星露谷物语,角色扮演,ConcernedApe/Chucklefish,2980,1156, 独立游戏 像素 开放世界 模拟 建造 沙盒 工艺
消逝的光芒,第一人称射击,Techland/Warner Bros.,3245,875, 丧尸 恐怖 生存恐怖 沙盒 射击 动作 合作
古墓丽影：崛起,动作游戏,Crystal Dynamics/Square Enix,2393,1679, 潜入暗杀 潜行 快速反应事件 女主人翁 跑酷 劳拉・克劳馥 探索
战地1,第一人称射击,EA DICE/EA,2515,1471, 一战 3D 沙盒
森林,动作游戏,Endnight Games,2989,959, 生存 恐怖 生存恐怖 建造 探索 开放世界 工艺
超级马里奥：奥德赛,角色扮演,任天堂,2599,1288, 3D 奇幻 沙盒
NBA 2K18,体育游戏,2K Sports/2K Games,2994,890, 篮球 体育 拟真 单机多人 免费 多人 单人
古墓丽影9,动作游戏,Crystal Dynamics/Square Enix,2830,1052, 生存 硬件杀手 奇幻 角色扮演 第三人称视角 潜行 多人
虐杀原形,动作游戏,Radical Ent/Activision,3043,699, 科幻 动作冒险 砍杀 单人 开放世界 丧尸 冒险
黑暗之魂3,动作角色扮演,"FromSoftware/FromSoftware, Inc.,BANDAI NAMCO Entertainment",1406,2336, 奇幻 玩家对战 开放世界 单人 剧情丰富 合作 第三人称视角
龙珠：超宇宙,格斗游戏,NBGI,3133,567, 局域网联机 改编
GTA4,动作游戏,Rockstar Games,3093,564, 沙盒 冒险 物理 合作 动作 第三人称视角 保龄球
生化危机7,动作游戏,CAPCOM,2392,1236, 丧尸 恐怖 科幻 VR 生存恐怖 射击 冒险
人渣,动作游戏,"Gamepires,Croteam/Devolver Digital",3023,590, 生存 第三人称视角 冒险 拟真 开放世界 免费 多人
狙击精英4,第三人称射击,Rebellion,2711,816, 二战 狙击手 战术 射击 单人 开放世界 冒险
逆水寒,动作角色扮演,网易,1218,2280, 国产 剑侠 武侠 改编
极限竞速：地平线3,竞速游戏,Playground Games/Microsoft,2631,670, 赛车 竞速 3D
彩虹六号：围攻,第一人称射击,育碧,1264,2034, 电子竞技 现代战争 大型多人在线 在线合作 拟真 策略 团队导向
辐射4,角色扮演,Bethesda,2117,1157, 末世 科幻 剧情丰富 冒险 生存 VR 第三人称视角
我的世界,益智游戏,Mojang Studio、Microsoft/网易游戏,2015,1182, 生存 沙盒 像素 局域网联机
刺客信条：奥德赛,动作游戏,育碧,1785,1367, 开放世界 动作 历史题材 潜入 剧情丰富 第三人称视角 冒险
龙珠斗士Z,格斗游戏,Arc System Works/BANDAI NAMCO Entertainment,2618,440, 2D 改编 控制器 竞技 带状卷轴动作 剧情丰富 假3D
人类：一败涂地,冒险游戏,No Brakes Games,2474,533, 独立游戏 解谜 奇幻 单机多人 多人 模拟 平台解谜
真三国无双5,动作游戏,Omega Force/Koei,2601,297, 三国
虐杀原形2,动作游戏,Radical Ent/Activision,2357,449, 单人 动作 丧尸 暴力 砍杀 跑酷 超英雄
和班尼特福迪一起攻克难关,动作游戏,Bennett Foddy,2394,372, 虐心 魔性 网络爆红 物理 哲理 搞笑 第三人称视角
巫师3：狂猎年度版,动作角色扮演,CD Projekt RED/CD Projekt,1149,1591, 沙盒 奇幻 中世纪
使命召唤15：黑色行动4,第一人称射击,Treyarch/Activision,1787,951, 未来战争 大逃杀 多人 丧尸
最终幻想15,角色扮演,Square Enix,1190,1534, 奇幻 3D 沙盒 开放世界 冒险 在线合作 好评原声音乐
魔兽争霸3：冰封王座,即时战略,Blizzard,1677,1023, 电子竞技 局域网联机 奇幻
植物大战僵尸：花园战争2,第三人称射击,Popcap/Electronic Arts,2272,403, Q版 丧尸
地平线：黎明时分,动作游戏,Guerrilla Games/索尼,1328,1335, 科幻 末世 3D
看门狗,动作游戏,Ubisoft,1821,703, 沙盒 硬件杀手 射击 合作 未来 氛围 潜行
泰坦陨落2,第一人称射击,Respawn/EA,1871,631, 未来战争 科幻
腐烂国度2,第三人称射击,Undead Labs/Microsoft Game Studios,2265,210, 生存 末世 丧尸 多人
火影忍者博人传：新忍出击,格斗游戏,Soleil/Namco Bandai,2228,218, 忍者 动漫 3D 改编
侏罗纪世界：进化,模拟游戏,Frontier Developments,2046,343, 恐龙 建造 沙盒 改编 科幻 经济 动作
合金装备5：幻痛,动作游戏,KOJIMA PRODUCTION/Konami,1282,1099, 潜入暗杀 沙盒
热血无赖,动作游戏,"United Front Games,Feral Interactive (Mac)/SQUARE ENIX",1768,593, 沙盒 角色扮演 第三人称视角 武术 多人 单人 跑酷
女神异闻录5,角色扮演,Atlus,1127,1223, 角色扮演 好评原声音乐 氛围 日本动画 超现实 回合制 重玩价值
合金装备崛起：复仇,动作游戏,Platinum Games/Konami,1839,504, 潜入暗杀 科幻 赛博朋克
NBA 2K17,体育游戏,2K Sports/2K Games,1737,603, 拟真 好评原声音乐 多人 自创角色 免费 日本动画 阖家
战地模拟器,第一人称射击,SteelRaven7,1966,359, 独立游戏 3D
精灵宝可梦：太阳/月亮,角色扮演,任天堂,1912,391, 回合制
逃生2,动作游戏,Red Barrels,1459,832, 恐怖 独立游戏 VR 生存恐怖 暴力 第一人称射击 裸露
海贼无双3,动作游戏,KOEI TECMO/Namco Bandai,1870,329, 改编
孤岛惊魂3,第一人称射击,Ubisoft Montreal/Ubisoft,1685,496, 沙盒 第一人称射击 生存 动作 剧情丰富 射击 角色扮演
不义联盟2,格斗游戏,NetherRealm/华纳兄弟,1860,293, 漫画英雄 超英雄 蝙蝠侠 动作 剧情丰富 单机多人 漫画
精灵宝可梦：究极太阳/月亮,角色扮演,任天堂,1789,347, 对战 回合制
丧尸围城4,动作游戏,Capcom、Epic Games/Capcom,1354,767, 丧尸 恐怖 3D
黎明杀机,动作游戏,Behaviour Digital Inc./Starbreeze Publishing AB,1755,344, 恐怖 第三人称视角 多人 合作 在线合作 动作 困难
异度之刃2,角色扮演,任天堂,694,1380, 科幻 沙盒
NBA 2K19,体育游戏,2K Sports/2K Games,1550,493, 体育 模拟 多人 篮球
仁王,动作游戏,KOEI TECMO/SCE,726,1313, 高难度 鬼怪 战国 剧情丰富 奇幻 第三人称视角 多人
刺客信条4：黑旗,动作游戏,Ubisoft Montreal/Ubisoft,1345,687, 潜入暗杀 海盗 跑酷 沙盒 暗杀 潜行 历史
恶灵附身2,动作游戏,Tango Gameworks/Bethesda,1423,604, 恐怖 惊悚 动作 生存 半开放世界 丧尸 黑暗系
真三国无双7,动作游戏,Koei,1718,301, 三国
中土世界：战争之影,角色扮演,Monolith/Warner Bros,1337,658, 中世纪 冒险 动作 角色扮演 奇幻 开放世界 黑暗系
神秘海域：失落遗产,动作游戏,Naughty Dog/索尼,1548,394, 3D
河洛群侠传,角色扮演,河洛工作室/方块游戏,1055,884, 国产 武侠 开放世界 剑侠 沙盒
生化危机6,动作游戏,CAPCOM,1451,476, 丧尸 生存 生存恐怖 第三人称视角 冒险 合作 在线合作
狙击精英3,第三人称射击,Rebellion/505 Games,1633,288, 二战 狙击手 射击 动作 潜行 第三人称视角 冒险
骑马与砍杀：战团,动作角色扮演,TaleWorlds Entertainment,1406,493, 中世纪 砍杀 局域网联机 角色扮演 拟真 冒险 马匹
极限竞速：地平线4,竞速游戏,Playground Games/Microsoft,1451,428, 赛车 竞技
孤岛惊魂4,第一人称射击,Ubisoft,1342,486, 沙盒 第一人称射击 动作角色扮演 单人 狩猎 生存 氛围
正当防卫2,第三人称射击,Avalanche Software/Square Enix,1504,321, 沙盒 单人 开放世界 第三人称视角 毁灭 Beautiful 动作
孤岛危机3,第一人称射击,Crytek Studios/Electronic Arts,1322,503, 未来战争 硬件杀手 电子竞技
文明6,策略游戏,Firaxis/2K Games,637,1130, 回合制 回合制策略 历史 单人 城市营造 4X 在线合作
命运2,第一人称射击,Bungie/Activision,1353,402, 未来战争 科幻
植物大战僵尸,益智游戏,PopCap Games,1407,297, 丧尸 Q版
猎天使魔女,动作游戏,Platinum Games/SEGA,650,1034, 奇幻 快节奏 好评原声音乐 角色动作 单人 冒险 砍杀
飙酷车神2,竞速游戏,Ivory Tower/Ubisoft,1444,240, 3D 多人 大型多人在线 第三人称视角 驾驶 氛围 飞行
美国末日,动作游戏,Naughty Dog /SCEA,1036,627, 生存 末世 丧尸
刺客信条,动作游戏,Ubisoft Montreal/Ubisoft,1365,294, 潜入暗杀 跑酷 中世纪 沙盒 动作冒险 单人 经典
极品飞车18：宿敌,竞速游戏,Ghost/Criterion Games/EA,1373,277, 电子竞技 硬件杀手
模拟人生3,模拟游戏,The Sims Studio/Electronic Arts,1485,164, 模拟 爱情 休闲 角色扮演 自创角色 欢乐 建造
旋转轮胎,竞速游戏,Oovee team,1417,212, 模拟 探索 困难 物理 冒险 可模组化 开放世界
无双大蛇3,动作游戏,"KOEI TECMO GAMES CO., LTD.",1194,418, 动作 奇幻 砍杀 改编
神舞幻想,角色扮演,九凤/网元圣唐,1067,543, 国产 奇幻 角色扮演 回合制
极品飞车17：最高通缉,竞速游戏,Criterion Games/EA,1219,371, 电子竞技
欧洲卡车模拟2,模拟游戏,SCS Software,1190,394, 拟真 模拟 开放世界 驾驶 动作 沙盒 冒险
逃脱者2,策略游戏,Mouldy Toof Studios/Team 17,1351,217, 独立游戏 像素 2D 多人 自创角色 开放世界 策略
真三国无双7：猛将传,动作游戏,ω-Force/KOEI,1078,484, 三国 无双 动作 第三人称视角 冒险 多人 历史
武装突袭3,第一人称射击,波西米亚工作室,1366,193, 现代战争 硬件杀手 战争 多人 在线合作 沙盒 可模组化
血源,动作角色扮演,From Software/索尼,649,906, 恐怖
火影忍者究极忍者风暴4：博人之路,格斗游戏,Cyber Connect2/Namco Bandai,1309,239, 忍者 动漫 改编
丧尸围城3,动作游戏,Capcom Game Studio Vancouver/Capcom,1325,220, 丧尸 生存恐怖 生存 多人 开放世界 第三人称视角 合作
你好邻居,策略游戏,Dynamic Pixels/tinyBuild,1309,229, 恐怖 独立游戏 3D 解谜 冒险 动作 单人
H1Z1,动作游戏,Daybreak Game Company,1281,246, 生存 大逃杀 丧尸 沙盒 玩家对战 冒险 开放世界
英雄联盟,动作游戏,Riot Games/腾讯游戏,231,1296, 电子竞技 奇幻
Inside,冒险游戏,Playdead/Playdead Studios,1167,339, 解谜 独立游戏 横版卷轴 平台解谜 独立 短片 悬疑
太吾绘卷,冒险游戏,ConchShip Games,566,934, 国产 独立 武术 角色扮演 沙盒 单人 模拟
喷射战士2,第三人称射击,任天堂,1057,439, 美少女
刀剑神域：虚空幻界,动作角色扮演,AQURIA/BANDAI NAMCO Entertainment,1280,212, 动漫 3D 改编 日系角色扮演 大型多人在线 视觉小说 日本动画
杀手6,动作游戏,Io Interactive/Square Enix,1086,387, 沙盒 暗杀 射击 动作 剧情丰富 剧集 好评原声音乐
无人深空,冒险游戏,Hello Games,643,830, 沙盒 太空 科幻 生存 开放世界 冒险 多人
神界：原罪2,角色扮演,Larian Studios,647,811, 剧情丰富角色扮演 奇幻 策略 回合制 冒险 合作 角色自定义
守望先锋,第一人称射击,暴雪,585,851, 科幻
真三国无双6,动作游戏,Koei,1296,137, 三国
模拟人生4：生儿育女,模拟游戏,Maxis、The Sims Studio/EA,1314,115, 3D
星之卡比：新星同盟,动作游戏,Nintendo,1160,225, 卡通 多人联机 休闲 独占 横版卷轴
火影忍者究极风暴世代,格斗游戏,CC2/NBGI,1201,183, 忍者 改编 动漫
死亡细胞,动作游戏,Motion Twin,878,495, 动作 奇幻 横版卷轴 画素风格 单人 类银河战士恶魔城 类Rogue
DmC：鬼泣,动作游戏,Ninja Theory/CAPCOM,791,580, 奇幻 剧情丰富 第三人称视角 恶魔 角色动作 风格化 氛围
全境封锁,第三人称射击,Massive Entertainment/Ubisoft,700,669, 末世 MMORPG 在线合作 末日 战术 动作 氛围
鬼泣4：特别版,动作游戏,Capcom,1055,293, 奇幻 角色动作 冒险 经典 单人 重制 砍杀
刺客信条：枭雄,动作游戏,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios/Ubisoft",715,632, 潜入暗杀 跑酷 沙盒 潜行 蒸汽朋克 历史 暗杀
以撒的结合：重生,动作角色扮演,"Nicalis, Inc.",1201,145, 独立游戏 黑色幽默 黑暗系 Rogerlike 漫画 二S 迷宫探索
冰汽时代,策略游戏,11 Bit,857,488, 生存 蒸汽朋克 资源管理 建筑建造 经济 困难 好评原声音乐
地狱之刃：塞娜的献祭,冒险游戏,Ninja Theory,824,500, 解谜 黑暗奇幻 奇幻 神话 独立游戏 恐怖 动作冒险
刀剑神域：夺命凶弹,动作角色扮演,DIMPS/Namco Bandai,1047,262, 科幻 改编 射击 日本动画 MMORPG 开放世界 动作
尘埃4,竞速游戏,Codemasters,957,343, 开放世界 体育 拟真 氛围 单人 越野 街机
饥荒：联机版,冒险游戏,Klei Entertainment,886,387, 类Rogue 单人 在线合作 二S 模拟 合作 独立
天命奇御,角色扮演,甲山林娱乐,531,737, 国产 剑侠 3D
三国志11,策略游戏,KOEI,1069,198, 三国 策略 历史 回合制策略
茶杯头,动作游戏,Studio MDHR/微软,902,363, 卡通 复古 横版射击 动作 独立游戏 硬核 合作
失落城堡,动作游戏,Hunter Studio,1158,99, 国产 横版卷轴 奇幻 迷宫探索 横向卷轴 二S 画素风格
60秒！,冒险游戏,Robot Gentleman Studios,1100,152, 生存 独立 策略 休闲 恐怖 氛围 困难
方舟：公园,冒险游戏,Snail Games,1077,155, 国产 冒险 射击 动作 虚拟现实 探索 单人
刺客信条：大革命,动作游戏,Ubisoft,576,642, 潜入暗杀 跑酷 硬件杀手 沙盒 潜行 第三人称视角 在线合作
质量效应：仙女座,动作角色扮演,BioWare/EA,358,850, 科幻 生存
德军总部2：新巨人,第一人称射击,MachineGames/Bethesda Softworks,800,402, 架空世界 科幻 二战 单人战役 剧情丰富 反乌托邦 线性流程
刺客信条2,动作游戏,育碧,806,382, 潜入暗杀 中世纪 跑酷 沙盒 动作冒险 好评原声音乐 经典
火影忍者疾风传：究极忍者风暴遗产,格斗游戏,Cyber Connect2/Namco Bandai,1033,151, 动漫 忍者 改编
模拟人生4：春夏秋冬,模拟游戏,"Maxis,The Sims Studio/EA Games",1068,115, 3D
天国：拯救,动作角色扮演,"Warhorse Studios/Warhorse Studios,Deep Silver",769,409, 中世纪 沙盒 单人 角色扮演 剧情丰富 剑术 选择取向
假面骑士：巅峰战士,格斗游戏,万代南梦宫,1082,95, 改编
羞辱2,动作游戏,Arkane Studios/Bethesda,602,567, 潜入暗杀 奇幻 沙盒 单人 潜行 硬件杀手 女主人翁
缺氧,模拟游戏,Klei Entertainment,858,305, 独立游戏 沙盒 2D 探索 科幻 开放世界 生存
漫漫长夜,冒险游戏,Hinterland Studio,880,252, 生存 恐怖 Early Access 模拟 策略 沙盒 氛围
三国志13：威力加强版,策略游戏,KOEI TECMO,931,193, 三国 回合制
盗贼之海,动作游戏,Rare,1001,113, 海盗 独立游戏 奇幻 沙盒
极品飞车19,竞速游戏,Ghost Games/EA,844,269, 电子竞技
火影忍者疾风传：究极忍者风暴合集,格斗游戏,Cyber Connect2/Namco Bandai,923,170, 动漫 忍者 改编
火影忍者疾风传：究极忍者风暴合集,格斗游戏,Cyber Connect2/Namco Bandai,923,170, 动漫 忍者 改编
刺客信条3,动作游戏,Ubisoft Montreal/Ubisoft,768,322, 潜入暗杀 跑酷 沙盒 第三人称视角 潜行 狩猎 动作冒险
进击的巨人,动作游戏,ω-Force/Koei,785,282, 动漫 3D 改编 末世
波西亚时光,角色扮演,Pathea Games/Team17 Digital Ltd,867,193, 独立游戏 国产 3D 单人 建造 农业 采矿
侠客风云传,角色扮演,凤凰游戏/河洛工作室/凤凰传媒,450,601, 国产 剑侠 武术 剧情丰富 角色扮演 单人 冒险
拳皇14,格斗游戏,SNK,734,315, 假3D 多人 带状卷轴动作 2D 格斗 日本动画 动作 好评原声音乐
杀手5：赦免,动作游戏,Io Interactive/Square Enix,822,199, 潜入暗杀 暗杀 第三人称视角 犯罪 单人 战术 动作
街头霸王5,格斗游戏,Capcom,851,169, 2D 格斗 免费 日本动画 竞技 电竞 女主人翁 经典
泰拉瑞亚,动作游戏,Re-Logic,637,381, 沙盒 低配置 横版卷轴 开放世界 多人 探索 建造
行尸走肉：第三季,冒险游戏,Telltale Games,503,504, 丧尸 生存 互动电影 单人剧情 分章节 女主人公 选择取向
星球大战：前线2,第一人称射击,DICE/EA,708,292, 科幻 未来战争 3D 改编 太空 战术 射击
生化危机4,动作游戏,Capcom,705,286, 生存 恐怖 丧尸 科幻 生存恐怖 冒险 氛围
侠盗猎车手：罪恶都市,动作游戏,Rockstar,644,343, 驾驶 冒险 经典 多人 射击 音乐 第三人称视角
海贼王：燃烧热血,格斗游戏,Namco Bandai,807,175, 动漫 3D 改编 动作 格斗 合作 带状卷轴动作
无主之地2,第一人称射击,Gearbox Software/2K Games,476,505, 局域网联机 科幻 第一人称射击 角色扮演 寻宝 冒险 风格化
生存之旅,第一人称射击,Turtle Rock/Valve,848,128, 丧尸 生存 恐怖 局域网联机 低配置
白色情人节：校园迷宫,冒险游戏,SONNORI Corp/PQube Limited、SONNORI Corp,847,125, 恐怖 3D 解谜 生存恐怖 悬疑惊悚 独立 日本动画
掠食,角色扮演,Arkane Studios/Bethesda,424,546, 科幻 恐怖 3D 潜行 角色扮演 外星人 氛围
荣耀战魂,动作游戏,"Ubisoft Montreal,Ubisoft Quebec,Ubisoft Toronto,Blue Byte/Ubisoft",317,652, 中世纪 拟真 第三人称视角 角色扮演 策略 在线合作 剧情丰富
生化奇兵：无限,第一人称射击,Irrational Games/2K Games,426,523, 蒸汽朋克 科幻 第一人称射击 反乌托邦 奇幻 好评原声音乐 架空
实况足球2018,体育游戏,Konami,681,267, 足球 体育
